ME14	ME47	ME33	ME56	ME21	ME26	ME29	ME12	ME24	ME45	ME52	ME9	ME50	ME25	ME39	ME18	ME38	ME22	ME42	ME19	ME31	ME10	ME2	ME5	ME8	ME15	ME48	ME27	ME30	ME17	ME44	ME1	ME3	ME43	ME51	ME32	ME35	ME16	ME41	ME34	ME7	ME54	ME23	ME28	ME49	ME13	ME11	ME20	ME37	ME36	ME46	ME55	ME53	ME4	ME6	ME40	ME0
GSM1172855	-0.0205437226916494	-0.0269202488671076	-0.0181482477728	0.00503902643049261	-0.0129835060236953	-0.013497063632621	0.00998751102085647	-0.0139751275175528	0.9517028659733	-0.0145845191950609	-0.0386848734241098	-0.0283437396711937	-0.0288165977670557	-0.0340265451918246	-0.0274003745618433	-0.024912984297563	-0.00937084381895388	-0.0168683814228293	-0.025290163413452	-0.0221745615870607	-0.0352432872906366	-0.0367595511860604	-0.0119580429655379	-0.028646080156369	-0.0349389517418181	-0.0660626704416877	-0.026439936247935	-0.0294327761849973	0.00203823053219896	0.0797295454714369	-0.015755579140834	0.220801698772769	0.0385387841874979	-0.0605483159486429	-0.0126352866562403	-0.070006529852083	-0.0246270012840386	-0.0552540423500645	-0.0397847561782725	-0.0786622513863179	-0.117435112675531	-0.0371303373263754	-0.0632868705711956	-0.0866247945904398	-0.0370368069712567	-0.0463342719021042	-0.00403223819850015	-0.017971950497099	-0.0186531882148321	-0.044682732609835	-0.0503608045715144	-0.0467347062512686	-0.0307436145876967	-0.0616355906666732	0.0113630416876371	-0.014012074147231	-0.111296292510363
GSM1172856	-0.0471432351496017	-0.0315339435077852	-0.0417175404351073	-0.0107207958705842	-0.0242034402136046	-0.0468389520028599	-0.0242956131815493	-0.0208890120188216	-0.0397216720850622	0.0351814606266637	-0.0219189085607324	-0.00581519546312728	-0.0160190944432563	-0.012029127131849	-0.0182492899857576	-0.0320494138275237	0.0261749781708222	0.0103314699873435	0.00277708051203648	0.00012837512738488	0.0130098474483815	0.0160062671423148	-0.00356191345315768	0.0309695547268174	0.0168009611094327	0.127712611119471	0.979004634354674	0.00795304664299511	-0.0137310836159659	-0.0156401683591277	0.034705531991503	0.138264192542717	0.303444412846497	-0.000380174947087861	-0.0199329991498908	-0.0444130577021685	0.00124132721606967	-0.0110430189466662	-0.0280397036342009	-0.0260510229079802	-0.00107057501869272	-0.0110503514517626	-0.0177116890573474	-0.0178897533048866	-0.0446996054716933	-0.0321650340572151	-0.0132829314020088	-0.0347593574150409	-0.0539690191270604	-0.0295699032693747	-0.0326372719872938	-0.0399048397488734	-0.0301777854079771	-0.0903474775272956	-0.0333199094564275	-0.0908255068325827	-0.0557029151569161
GSM1172858	-0.0540332859808167	-0.0502615326244499	-0.0527708078143564	-0.0552271999932188	-0.0478114990684419	-0.050626796907374	-0.0521767900119072	-0.0313015464040537	-0.0536537491893491	-0.0407280094820672	-0.0251811084516187	-0.0431178246331529	-0.0291595112485373	-0.038707761059689	-0.0398137103269712	-0.0395216197494365	-0.054387225252427	-0.0430108350742952	-0.0290489852593122	-0.0231298519731948	-0.0364232836646196	-0.034009352225794	-0.0310332658646461	-0.0369243378974029	-0.0357415939999544	-0.129490556339802	-0.0303597347652185	-0.0183951870362206	-0.0502669069678683	-0.0657048053246911	-0.0371943038140597	-0.1746518573726	-0.118292669636668	-0.00433254834011688	-0.0332521378399239	0.0158156885570038	-0.0367399796411612	-0.00472055239046861	-0.0350578659849719	0.0424566083075564	0.0450598282596515	-0.0189263284733234	0.0416998590639704	0.293599859095036	0.0495752920244643	-0.00658362674539891	-0.0579696201326238	-0.0325840507704798	-0.0361054825127803	-0.0341845742239566	-0.0279881160567081	-0.0308871694904516	-0.0314606802891231	-0.0150045115322367	-0.0277067550457717	0.0125638562388815	0.230797748650584
GSM1172859	-0.0397716385010227	-0.0357524577374383	-0.0485505236618193	-0.0455160957229713	-0.0349753122489523	-0.0314785422394889	-0.0483338172932852	-0.0284994810736445	-0.0389860156826786	-0.0358614536848976	-0.0110488084281978	-0.0224418161768472	-0.00569572647556981	-0.0276080671878006	-0.0244725618989704	-0.0448474752818546	-0.0473433412659957	-0.041302676287742	-0.024695532114905	-0.0248211451692691	-0.0309584898421527	-0.0451353233661371	-0.02901478029702	-0.0202769859859716	-0.0300170811561642	-0.126725631355886	-0.0204675426356309	-0.0314968559949519	-0.0399818416917977	-0.0529526455566369	-0.0420497430814285	-0.183092609659419	-0.152888590239142	-0.0112666846180986	-0.0152409669128648	0.0581637846760833	-0.0199016714150677	0.0132788418050213	0.0429161026932925	0.0177045498059149	0.052522644225674	0.0145626389226217	0.0328650618783154	0.251894559650005	0.980207699313448	0.0181672612886409	-0.0471168870493747	-0.0117269833468153	0.00545892669851826	-0.0106342684669014	0.0193278572545859	-0.0137007962582032	-0.0119132371802884	0.041246177365519	-0.00122382345618867	0.0812593571366399	0.2162915260837
GSM1172860	-0.0481695924563857	-0.0398065883135556	-0.0450940790057732	-0.039048017387598	-0.0482476330287316	-0.0490338857241433	-0.0567933227570995	-0.0251064881431569	-0.0542870312070732	-0.039394747375471	-0.00616785399822898	-0.0286529696992088	-0.0222646740572378	-0.0251964696373791	-0.0205114234544681	-0.0549977319035877	-0.0524508454952294	-0.0476999232556153	-0.0088885403547552	-0.00827462711295073	-0.0277574105303545	-0.0355820876921848	-0.0258931059470023	-0.0223716156402107	-0.0226533168444935	-0.112456268712336	-0.0246551734368007	-0.0265126877247449	-0.0544148896297767	-0.0592625419750139	-0.0365698287421608	-0.211691680743065	-0.149867957765661	-0.000427502738094074	-0.0237760136564884	0.0287179270558872	-0.0246793530749774	-0.00113440676141859	-0.0118585955951954	0.0481422536392248	0.0968436137848009	-0.00146432018237861	0.0634299171143761	0.840075882560105	0.0208890906922298	-0.00116230148487554	-0.0653383042520431	-0.025544429347603	-0.0133236976216935	-0.0107876438023744	0.00101875247960916	-0.0271795045051695	-0.0257135919699947	-0.0219456876133917	-0.00309421338486424	0.0476655974876977	0.179864408894362
GSM1172861	-0.0120739110525398	-0.021932063495288	-0.00941307830693489	-0.0131821538253113	-0.000130097067843517	0.030938647838743	0.0166755652196255	0.00831626564105292	0.0335564574713523	-0.017456822929677	-0.0151031979878804	-0.0441391122029056	-0.0302399080575448	0.977073818763313	0.0249855234386408	-0.00493928741461615	0.000931908595287255	-0.0179142136733256	-0.0167963329516725	-0.00999406876990252	-0.00300461974293037	-0.0176240550132755	0.00507706418840884	-0.0193194129588311	-0.00349275216485639	0.183774850332882	-0.0160790971791314	-0.0192081071437633	0.00523807478576329	0.0100002689485028	-0.0197944269053975	0.0691245132154241	-0.0371509804039968	-0.0422525838092662	-0.0128067634837463	-0.051576033734264	-0.0134008333653716	-0.0203558463538519	-0.0296732831507375	-0.0476490989438498	-0.0933971197138065	-0.0329968804925859	-0.0474680460907342	-0.0703948805191971	-0.0229992090078172	0.00795784865397464	-0.00136433696578577	0.0229403509159789	-0.0128625384082653	-0.00037321308263416	0.00228485895692282	-0.0117251242055384	-0.029517952352949	-0.0422257025810885	-0.00932449597804284	-0.0167990709151552	-0.1428663501327
GSM1172863	0.0248192564933088	-0.00375558370915714	0.0421297701616341	0.025179705822369	0.0776954189191882	0.0100963999804391	0.0556742633345787	0.0621851201733282	0.0389062295644019	-0.00656153199279758	0.0416779893661657	-0.00870400471011636	0.088652015030267	0.07265457301906	0.023187325489335	0.0616432473953106	0.0810310803754499	0.0594237153227748	0.0582399819234241	0.00600739802875079	0.10687087345846	0.0981145340744049	0.985696757238789	0.0316906647751842	0.0360818576893026	0.384048978374087	-0.0123130278444491	-0.00303592276047896	0.0838970482037734	0.105587259932477	0.02812303203456	0.259951156997376	0.104888166598908	0.0276529265015595	-0.00617770619393045	-0.0367412875271049	0.0572083632132976	0.013305643209296	-0.0273476908644805	-0.0546260907360148	-0.12331324332899	0.0115363680649987	-0.0361695819380038	-0.0643852182202038	0.0174980180029749	-0.0077654077022857	0.0589936098549695	0.00521106667869177	-0.0285822537084088	0.0242914353558178	0.0039143207374705	0.00785302137434541	0.0125937708162182	-0.0598268179860929	0.000986849919240602	-0.180339828662902	-0.249321233071102
GSM1172864	-0.0376490395968576	-0.0360070755662574	-0.0429705406314297	-0.0164698502113475	-0.0175345608587798	-0.0372841572536148	-0.0362598967476045	-0.0158553947888719	-0.0322854428356889	0.0142885394587516	-0.0154162006250951	-0.0224192877191337	-0.019401053622547	0.00884133707897418	-0.0121125294767219	-0.0277452293368573	0.00530738307426669	-0.00754957807420215	0.000228049995631697	0.974201626259388	0.0323080930814523	0.0759473711751443	0.0071496401364604	0.0324507651676139	0.018566825319607	0.210711794087833	0.0042400744451634	0.0191690262521886	-0.0031406765447856	-0.00914839326214876	0.0379019694341588	0.0235416478961696	0.190403857001433	0.00485480644020829	0.0286857198637237	-0.0294742040364551	0.0124586381004143	-0.00601656466993275	-0.0136994475840618	0.0237588345336104	-0.00128169319551241	-0.00750460486663963	0.00852174241240534	0.00640907553156454	-0.018541351808323	-0.0494056251358123	-0.0238508752988155	-0.0324087792477432	-0.0525793863897901	-0.0229319997485355	-0.0182508817149886	-0.0296004236079366	-0.0333505885986083	-0.114084938424534	-0.0567594703204171	-0.142911731978163	-0.119425217234589
GSM1172865	-0.0370467985906136	-0.0376300005594654	-0.0318350470009421	-0.021675309941824	0.00764808066055303	-0.039594186615449	-0.0189674222957392	-0.0131283257377055	-0.0367124356407714	0.0217213292724898	0.0228571986834316	0.0498401252197761	-0.000740641219772831	0.00611796700701425	0.0251901472078034	-0.0273529792577739	-0.00404746844564857	0.00236641384727162	0.029288086002787	0.0221388958236441	0.0581165732330938	0.0119563869204633	0.0134345313644477	0.0385627135601097	0.976110004466974	0.371750576502968	0.00984741450567936	-0.0098469239305483	0.00602991367142174	-0.00661526735240826	0.0115190410687633	-0.0013059094187494	0.111391190058021	0.0119381940214566	0.0188522084368504	-0.00934295577290046	0.0244234213088872	0.00783794075730007	0.0105169336205389	-0.00656486977466416	-0.00396700125693551	0.0360721934076924	0.00737147384719106	0.0407739440863023	-0.000906869348250773	-0.0237154893387106	-0.0244354332640206	-0.0269004144614193	-0.031638858152954	0.00204498863662273	-0.00968736997358116	-0.00146136188416779	-0.0342586555439803	-0.0827434646300417	-0.0182361682280502	-0.0916327432229317	-0.0247639160584076
GSM1172867	-0.0294866207698679	-0.0275529431600569	-0.0109954773959226	-0.0190097317248901	-0.0282269815539305	0.0175053181063965	-0.0134021478640828	-0.0242010000696818	-0.0116684594386283	-0.0173915848133858	-0.0301855239064065	-0.0134167925938684	-0.019536571291216	-0.0245416898536379	-0.0314020812008603	0.0358504445091653	-0.00932459411645526	-0.00994489459104281	-0.022751906790004	-0.00575774984682001	-0.0293131010212518	-0.0215535437730281	-0.0239602622648018	-0.0136953861944809	-0.0366174756906202	-0.0687570990075781	-0.0290347205346238	-0.0108881822881835	0.00135407756311498	-0.000517792394413789	0.000832779394085265	0.167880940919298	0.105752014181699	-0.0334196572311198	-0.0178945804072498	-0.0268595283443509	0.00327353770396949	0.00658228754302233	-0.0260700546275723	-0.0508828360208105	-0.0599622207260003	-0.0386923589879783	-0.0421193896946359	-0.0532917202525969	-0.0285981129246971	0.0199455990117786	0.958479993776338	0.0821851118970403	-0.0266710131011063	-0.0199855034071551	-0.0274129882885559	-0.0238543928506007	-0.0143871463871795	-0.050462276583888	0.0227335176085098	-0.0650531864824391	0.0108657347330768
