genes	GOcats
AC184794.2_FG003	GO:0006857
AC184794.2_FG003	GO:0016020
AC184831.3_FG005	GO:0003700
AC184831.3_FG005	GO:0006355
AC184831.3_FG005	GO:0008270
AC184831.3_FG005	GO:0043565
AC184831.3_FG008	GO:0003700
AC184831.3_FG008	GO:0006355
AC184831.3_FG008	GO:0008270
AC184831.3_FG008	GO:0043565
AC184834.3_FG007	GO:0042309
AC184834.3_FG007	GO:0050825
AC184834.3_FG007	GO:0050826
AC184840.4_FG002	GO:0005618
AC184840.4_FG002	GO:0030599
AC184840.4_FG002	GO:0042545
AC184840.4_FG004	GO:0005618
AC184840.4_FG004	GO:0030599
AC184840.4_FG004	GO:0042545
AC184840.4_FG010	GO:0005618
AC184840.4_FG010	GO:0030599
AC184840.4_FG010	GO:0042545
AC184850.4_FG006	GO:0006519
AC184850.4_FG006	GO:0016831
AC184854.4_FG007	GO:0003676
AC184854.4_FG007	GO:0008270
AC184866.3_FG007	GO:0003700
AC184866.3_FG007	GO:0006355
AC184866.3_FG007	GO:0043565
AC185108.3_FG011	GO:0005622
AC185108.3_FG011	GO:0008270
AC185118.2_FG001	GO:0005516
AC185121.3_FG001	GO:0005515
AC185121.3_FG001	GO:0008270
AC185122.3_FG008	GO:0003677
AC185122.3_FG008	GO:0015074
AC185126.3_FG006	GO:0005515
AC185126.3_FG006	GO:0008270
AC185130.2_FG004	GO:0004222
AC185130.2_FG004	GO:0006508
AC185130.2_FG004	GO:0016020
AC185217.3_FG002	GO:0031072
AC185252.4_FG002	GO:0003677
AC185252.4_FG002	GO:0004879
AC185252.4_FG002	GO:0005634
AC185252.4_FG002	GO:0006355
AC185256.3_FG003	GO:0007217
AC185323.3_FG003	GO:0004176
AC185323.3_FG003	GO:0004252
AC185323.3_FG003	GO:0006508
AC185323.3_FG003	GO:0016068
AC185410.3_FG001	GO:0016020
AC185410.3_FG001	GO:0051260
AC185413.3_FG005	GO:0004252
AC185413.3_FG005	GO:0006508
AC185415.3_FG005	GO:0003676
AC185415.3_FG005	GO:0005622
AC185415.3_FG005	GO:0008270
AC185417.3_FG003	GO:0000166
AC185417.3_FG003	GO:0003676
AC185417.3_FG003	GO:0004812
AC185417.3_FG003	GO:0005524
AC185417.3_FG003	GO:0005737
AC185417.3_FG003	GO:0006412
AC185417.3_FG003	GO:0006418
AC185417.3_FG003	GO:0008270
AC185449.3_FG003	GO:0008270
AC185460.3_FG004	GO:0005515
AC185460.3_FG004	GO:0008270
AC185468.3_FG003	GO:0003743
AC185468.3_FG003	GO:0006413
AC185471.3_FG005	GO:0003777
AC185471.3_FG005	GO:0005875
AC185471.3_FG005	GO:0007017
AC185489.3_FG002	GO:0005524
AC185489.3_FG002	GO:0008152
AC185489.3_FG002	GO:0016301
AC185500.3_FG004	GO:0005179
AC185500.3_FG004	GO:0005199
AC185500.3_FG004	GO:0005576
AC185504.4_FG002	GO:0016068
AC185519.3_FG002	GO:0005515
AC185519.3_FG002	GO:0008270
AC185531.2_FG001	GO:0005509
AC185588.2_FG001	GO:0003676
AC185588.2_FG001	GO:0003677
AC185588.2_FG001	GO:0008270
AC185596.3_FG015	GO:0009055
AC185596.3_FG015	GO:0051536
AC185603.4_FG007	GO:0016491
AC185603.4_FG007	GO:0055114
AC185605.3_FG003	GO:0042309
AC185605.3_FG003	GO:0050825
AC185605.3_FG003	GO:0050826
AC185611.3_FG001	GO:0007155
AC185611.3_FG001	GO:0016020
AC185611.3_FG001	GO:0051260
AC185612.3_FG002	GO:0016788
AC185648.3_FG007	GO:0003824
AC185648.3_FG007	GO:0016020
AC185655.3_FG004	GO:0005622
AC185655.3_FG004	GO:0008270
AC185655.3_FG004	GO:0042309
AC185655.3_FG004	GO:0050825
AC185655.3_FG004	GO:0050826
AC185655.3_FG005	GO:0005622
AC185655.3_FG005	GO:0008270
AC185668.3_FG001	GO:0000175
AC185668.3_FG001	GO:0003723
AC185668.3_FG001	GO:0006396
AC186007.3_FG002	GO:0003676
AC186007.3_FG002	GO:0003677
AC186007.3_FG002	GO:0008270
AC186020.3_FG001	GO:0046983
AC186145.3_FG002	GO:0000015
AC186145.3_FG002	GO:0000287
AC186145.3_FG002	GO:0004634
AC186145.3_FG002	GO:0006096
AC186147.3_FG008	GO:0016021
AC186147.3_FG008	GO:0016758
AC186159.3_FG005	GO:0004974
AC186159.3_FG005	GO:0007186
AC186159.3_FG005	GO:0016021
AC186166.3_FG008	GO:0030001
AC186166.3_FG008	GO:0046872
AC186223.3_FG003	GO:0004066
AC186223.3_FG003	GO:0006529
AC186231.4_FG002	GO:0000785
AC186231.4_FG002	GO:0003677
AC186231.4_FG002	GO:0005199
AC186231.4_FG002	GO:0005634
AC186231.4_FG002	GO:0006355
AC186233.3_FG007	GO:0003676
AC186233.3_FG007	GO:0005576
AC186233.3_FG007	GO:0005618
AC186233.3_FG007	GO:0007154
AC186233.3_FG007	GO:0008270
AC186237.3_FG004	GO:0016020
AC186237.3_FG004	GO:0051260
AC186287.7_FG005	GO:0004721
AC186287.7_FG005	GO:0005622
AC186287.7_FG005	GO:0005634
AC186302.3_FG006	GO:0005179
AC186302.3_FG006	GO:0005576
AC186333.2_FG006	GO:0005634
AC186333.2_FG006	GO:0008270
AC186333.2_FG006	GO:0016563
AC186333.2_FG006	GO:0045941
AC186339.3_FG001	GO:0003824
AC186339.3_FG001	GO:0005524
AC186339.3_FG001	GO:0008152
AC186406.4_FG006	GO:0009405
AC186406.4_FG008	GO:0004974
AC186406.4_FG008	GO:0007186
AC186406.4_FG008	GO:0016021
AC186408.5_FG005	GO:0004966
AC186408.5_FG005	GO:0007186
AC186408.5_FG005	GO:0016021
AC186419.4_FG002	GO:0008652
AC186493.4_FG002	GO:0006730
AC186493.4_FG002	GO:0009306
AC186493.4_FG002	GO:0016020
AC186493.4_FG002	GO:0018759
AC186499.3_FG003	GO:0003677
AC186500.3_FG001	GO:0005507
AC186500.3_FG001	GO:0008131
AC186500.3_FG001	GO:0009308
AC186500.3_FG001	GO:0048038
AC186500.3_FG001	GO:0055114
AC186510.3_FG004	GO:0008270
AC186524.3_FG005	GO:0003677
AC186524.3_FG005	GO:0005634
AC186529.4_FG014	GO:0009055
AC186529.4_FG014	GO:0046872
AC186563.4_FG004	GO:0003735
AC186563.4_FG004	GO:0005622
AC186563.4_FG004	GO:0005840
AC186563.4_FG004	GO:0006412
AC186577.3_FG006	GO:0004857
AC186577.3_FG006	GO:0005179
AC186577.3_FG006	GO:0005576
AC186577.3_FG006	GO:0016068
AC186577.3_FG006	GO:0030599
AC186577.3_FG006	GO:0042309
AC186577.3_FG006	GO:0050825
AC186577.3_FG006	GO:0050826
AC186579.3_FG007	GO:0005515
AC186579.3_FG007	GO:0008270
AC186580.4_FG001	GO:0003676
AC186580.4_FG001	GO:0008270
AC186585.4_FG002	GO:0004045
AC186585.4_FG002	GO:0006412
