Gene	ck_rep1	ck_rep2	ck_rep3	trt_rep1	trt_rep2	trt_rep3	ck_rep1.RPKM	ck_rep2.RPKM	ck_rep3.RPKM	trt_rep1.RPKM	trt_rep2.RPKM	trt_rep3.RPKM	log2FC	pval	qval	ck.mean	trt.mean
GRMZM2G085812	7	9	6	44	4	15	0.577	0.704	0.486	3.969	0.334	1.134	1.06808405040763	0.307869966308222	0.81753026406246	7.2	27.4
GRMZM2G085825	126	166	139	121	164	124	4.018	5.02	4.35	4.221	5.294	3.624	-0.0417705103530166	0.889397410640307	0.989396315703722	140.7	137.1
GRMZM2G085827	175	124	167	145	169	127	8.292	5.571	7.765	7.515	8.106	5.515	-0.0363779181487378	0.911681491204118	0.99198597827266	153.2	164.6
GRMZM2G085833	2675	3220	2815	1670	2832	2449	72.421	82.663	74.79	49.456	77.612	60.762	-0.316969583296716	0.0773706404319891	0.522921049148702	2845.8	2344
GRMZM2G085836	31	83	59	33	58	55	2.291	5.817	4.28	2.668	4.34	3.726	-0.151997844123266	0.735226733170113	0.965717367701015	56.2	48
GRMZM2G085845	14	10	12	125	12	33	0.56	0.379	0.471	5.468	0.486	1.21	1.71916982580594	0.0189561749019494	0.241578492859122	11.8	75.4
GRMZM2G085849	918	1028	907	673	886	739	29.896	31.745	28.987	23.974	29.208	22.056	-0.281111573731596	0.138982618598062	0.661825145985907	932.6	830.1
GRMZM2G085854	30	40	47	220	11	51	1.062	1.343	1.633	8.518	0.394	1.654	0.391079428130706	0.636067679431794	0.939682536325241	38.3	145.8
GRMZM2G085856	85	77	54	101	80	83	4.017	3.451	2.504	5.221	3.827	3.595	0.344977572208976	0.349054443686712	0.841993058933699	70.6	83.2
GRMZM2G085872	441	510	432	271	434	534	17.367	19.045	16.696	11.674	17.302	19.273	-0.16926722042957	0.482156573847127	0.897728919533595	451.9	367.9
GRMZM2G085885	5127	5638	5593	3278	4737	4793	192.247	200.463	205.808	134.451	179.802	164.706	-0.335075465592313	0.0473772321747693	0.412572803168157	5353.3	4635
GRMZM2G085909	276	400	262	329	399	298	9.05	12.436	8.43	11.8	13.243	8.955	0.182415772117494	0.434029463438672	0.87808355914047	305.3	314.5
GRMZM2G085924	3293	5442	3786	115	1063	258	157.272	246.451	177.445	6.008	51.391	11.292	-3.66681135213235	1.27238901456456e-06	9.40697506956738e-05	4074.8	1969.8
GRMZM2G085926	371	369	373	502	399	535	12.917	12.182	12.744	19.118	14.062	17.07	0.394852706753755	0.0733643738274685	0.512364775671594	364.5	466.4
GRMZM2G085932	148	160	130	275	158	145	6.112	6.266	5.269	12.424	6.606	5.488	0.384699628225746	0.240360767687422	0.778026937272595	143.1	218.1
GRMZM2G085939	231	198	210	127	146	200	10.53	8.558	9.394	6.333	6.737	8.355	-0.417987158996298	0.13641180916148	0.657536772160399	209.5	176.2
GRMZM2G085941	68	56	75	33	71	76	1.789	1.397	1.936	0.949	1.89	1.832	-0.177927280750122	0.693779246434172	0.955393792921194	65.4	56.1
GRMZM2G085945	122	75	88	203	53	167	6.245	3.64	4.42	11.366	2.746	7.834	0.450360007606024	0.2406086806764	0.778072421693067	93.7	157
GRMZM2G085948	841	839	753	887	859	995	37.207	35.197	32.692	42.925	38.47	40.342	0.208827965658664	0.262066611961548	0.794025515419957	796	871.4
GRMZM2G085960	778	806	828	724	960	1039	30.048	29.518	31.383	30.587	37.532	36.776	0.196889929236797	0.300419225289986	0.814555511281929	789.8	818.7
GRMZM2G085967	44	38	59	122	16	42	1.793	1.468	2.359	5.437	0.66	1.568	-0.042574905880119	0.946020319853528	0.995171635136982	46.4	97.4
GRMZM2G085970	121	193	127	84	163	158	4.658	7.046	4.798	3.537	6.352	5.575	-0.11072317403913	0.719339929443763	0.963520706909713	143.5	110.6
GRMZM2G085974	15	60	13	56	81	224	0.855	3.244	0.727	3.493	4.675	11.705	2.13101481115544	0.00136366936199385	0.0355352508716123	28.2	37.6
GRMZM2G085998	35	48	57	78	44	55	1.882	2.448	3.008	4.589	2.395	2.711	0.356874542882658	0.47787428434981	0.895640083019487	45.8	72
GRMZM2G086003	592	649	650	637	874	777	21.812	22.675	23.503	25.673	32.598	26.237	0.302272671205977	0.131637464492869	0.648052223492727	618.9	680.8
GRMZM2G086030	6371	6491	6010	4195	6279	6760	81.453	78.691	75.405	58.667	81.262	79.205	-0.121984083926429	0.509775561646042	0.906246528889379	6175.1	5353.9
GRMZM2G086032	123	98	114	167	116	152	5.048	3.814	4.591	7.497	4.819	5.717	0.405605639077148	0.186499897717485	0.726001895030083	110	150.1
GRMZM2G086052	171	235	168	117	220	173	5.899	7.688	5.688	4.415	7.683	5.47	-0.159069695434385	0.565949222854881	0.921259480014411	187.1	149.5
GRMZM2G086069	719	792	621	678	728	800	38.101	39.797	32.294	39.301	39.051	38.851	0.090697462450029	0.642795630411874	0.940591453966252	696.3	688.9
GRMZM2G086072	179	145	119	141	196	191	7.919	6.083	5.167	6.824	8.778	7.744	0.296149227826592	0.338443823278918	0.836048135911635	145	138.2
GRMZM2G086088	2170	2296	1900	1385	2467	2095	82.008	82.278	70.465	57.254	94.376	72.558	-0.0953939261810301	0.639204113884914	0.939682536325241	2080.6	1725.2
GRMZM2G086093	386	423	361	243	387	388	9.573	9.947	8.786	6.592	9.715	8.818	-0.190502538902452	0.420920386338299	0.871568608813744	382.4	316.6
GRMZM2G086116	366	349	311	331	345	333	12.555	11.352	10.469	12.42	11.979	10.468	0.0169108425210849	0.939374941590722	0.994679777652182	335.8	340.3
GRMZM2G086123	386	334	437	252	295	415	11.079	9.09	12.309	7.912	8.571	10.916	-0.251087271736431	0.272819135590833	0.79981605793143	380	359.9
GRMZM2G086132	388	370	302	351	489	566	13.64	12.334	10.419	13.498	17.402	18.235	0.426745839378986	0.0842607507235667	0.545639446268985	346.6	346.8
GRMZM2G086138	669	605	547	426	589	628	19.728	16.917	15.829	13.741	17.582	16.971	-0.124463941659294	0.577649902627216	0.926487201536844	596.2	511.8
GRMZM2G086163	36	28	51	88	25	55	1.443	1.064	2.006	3.858	1.014	2.02	0.458396600355129	0.389072402322179	0.860028858152171	37.9	74.5
GRMZM2G086190	219	236	189	104	158	226	9.019	9.216	7.638	4.685	6.587	8.53	-0.422663332814323	0.178811826123048	0.71603599462153	210.4	152.9
GRMZM2G086202	95	116	138	147	110	110	15.56	18.016	22.182	26.337	18.238	16.512	0.111111970822271	0.760972154509026	0.967715429789968	114.3	151.1
GRMZM2G086231	45	29	17	65	48	58	2.669	1.631	0.99	4.217	2.882	3.153	1.02979955428795	0.0419350670015158	0.384972886918461	29.8	44.6
GRMZM2G086236	452	483	421	403	524	439	20.815	21.091	19.026	20.3	24.427	18.527	0.0425024526827363	0.840999492393947	0.984647629194534	443.4	435.6
GRMZM2G086237	398	437	374	121	233	189	8.461	8.809	7.803	2.814	5.014	3.682	-1.15993357066779	1.17247531165281e-05	0.000649187657309444	395.2	255.4
GRMZM2G086242	3120	3429	3342	2042	2865	2989	105.368	109.808	110.76	75.435	97.943	92.509	-0.305873694786133	0.072528887785397	0.509498039636384	3236.4	2815.8
GRMZM2G086258	8723	9951	10399	9568	8432	10066	304.583	329.472	356.331	365.444	298.034	322.108	-0.0132793688081075	0.941074187308005	0.994717125195817	9517	10545.6
GRMZM2G086267	553	628	528	598	523	617	24.601	26.492	23.051	29.1	23.552	25.155	0.0624987208524844	0.767338434411616	0.968378117644728	558.4	597.7
GRMZM2G086269	270	301	296	195	162	263	8.135	8.599	8.752	6.427	4.941	7.262	-0.471332176062097	0.0718542220535556	0.507428524564266	283.7	257.2
GRMZM2G086277	126	104	169	370	85	157	5	3.914	6.582	16.062	3.415	5.71	0.415781565625396	0.332490212103783	0.831699088793361	131.3	290.4
GRMZM2G086285	180	202	187	90	191	202	18.746	19.948	19.112	10.253	20.136	19.28	-0.275627953461046	0.376069510498347	0.853382136188248	186.1	144.1
GRMZM2G086287	333	341	232	209	414	311	7.111	6.905	4.862	4.882	8.949	6.086	0.0520303763797899	0.850453002998842	0.985474807222884	295.7	232.8
GRMZM2G086365	193	233	199	95	209	210	21.107	24.162	21.357	11.364	23.137	21.047	-0.319971193291343	0.290453595362479	0.809997790417159	204.2	152.9
GRMZM2G086371	338	365	344	221	322	314	6.27	6.42	6.262	4.484	6.047	5.338	-0.269337442850893	0.250263236768773	0.785320708549821	342.5	295.8
